data_id,event_date,inter1,inter2
5867615,20180224,2,0
5865058,20180224,2,0
5868132,20180224,2,0
6058856,20180224,8,7
5864053,20180224,1,7
6043767,20180224,8,7
5864055,20180224,1,0
5864056,20180224,3,7
5690237,20180224,2,2
5690238,20180224,1,2
5860992,20180224,1,7
6081410,20180224,8,0
5851781,20180224,3,0
5848967,20180224,1,0
5854343,20180224,2,0
5848969,20180224,1,0
6122121,20180224,2,2
6132366,20180224,1,0
7264917,20180224,2,2
5849240,20180224,2,2
6081437,20180224,1,2
6043044,20180224,1,7
5855141,20180224,1,2
5862311,20180224,3,2
6080679,20180224,8,2
5842856,20180224,1,0
5862312,20180224,3,7
5862313,20180224,2,2
5864112,20180224,2,0
5864113,20180224,2,0
5864114,20180224,2,0
7218355,20180224,1,7
5864116,20180224,2,0
5852598,20180224,2,0
6057654,20180224,8,7
5850298,20180224,1,2
6123208,20180224,2,2
5854666,20180224,3,0
7175627,20180224,1,7
5850063,20180224,2,0
6122963,20180224,2,2
5907926,20180224,1,0
6125527,20180224,3,7
5843929,20180224,2,1
5855197,20180224,8,0
5861341,20180224,2,2
7020766,20180224,8,2
5849056,20180224,3,7
5853408,20180224,2,2
6079462,20180224,2,2
6039276,20180224,8,2
6039277,20180224,8,3
5861357,20180224,2,0
6130669,20180224,1,0
6039278,20180224,8,2
6039279,20180224,1,7
6039280,20180224,1,7
6039281,20180224,2,0
5841138,20180224,1,0
6039282,20180224,1,7
7264754,20180224,2,0
6039283,20180224,1,7
6039284,20180224,1,7
6039285,20180224,1,7
5855989,20180224,2,2
6039286,20180224,1,7
7218679,20180224,2,2
6039287,20180224,1,7
6039288,20180224,1,7
